"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_regression_case","tests.pytest","2026-08-12","passed","2026-08-12","","test_markers","",""
"","0","test_smoke_and_regression","tests.pytest","2026-08-12","passed","2026-08-12","","test_markers","",""
"","1656","User login with wrong email or password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-12","passed","2026-08-12","TestUserInterface","test_markers","",""
"","3567","User login with correct email and password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","1560","Navigation from login page to registration page","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","1","test_login","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","2128","Registration with correct email, username and password","LMS system","2026-08-12","passed","2026-08-12","Registration","Authentication","",""
"","1666","Check displaying dashboard page","LMS system","2026-08-12","passed","2026-08-12","Dashboard","Dashboard","",""
"","2309","User login with wrong email or password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
"","2644","Verify that course can be successfully edited","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","2026-08-12","passed","2026-08-12","","test_markers","",""
"","2604","Create course","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
"","0","test_logout","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-08-12","passed","2026-08-12","TestUserAuthentication","test_markers","",""
"","1772","Check displaying of empty courses list","LMS system","2026-08-12","passed","2026-08-12","Courses","Courses","",""
"","1866","User login with wrong email or password","LMS system","2026-08-12","passed","2026-08-12","Authorization","Authentication","",""
